,x
0,0.010167117
1,0.010064787
2,0.009964495
3,0.011267725
4,0.011142177
5,0.011019395
6,0.009543358
7,0.009453143
8,0.010695289
9,0.010582109
10,0.011772536
11,0.01420295
12,0.012739026
13,0.013828002
14,0.00993797
15,0.009840178
16,0.009744291
17,0.001211387
18,0.007237667
19,0.008378266
20,0.009489988
21,0.010569681
22,0.009302393
23,0.009216655
24,0.009132484
25,0.006795043
26,0.005627477
27,0.006711435
28,0.008879082
29,0.010989122
30,0.007621158
31,0.009714054
32,0.003217161
33,0.004273511
34,0.003193191
35,0.003183027
36,0.003172927
37,0
38,0.003162891
39,0.00942909
40,0.011404997
41,0.0051414
42,0.002049181
43,0
44,0.004085808
45,-0.001019888
46,-0.00306592
47,0.00204499
48,0.001020929
49,0.001019888
50,0.007110238
51,0.00404041
52,0.002014099
53,0.00401607
54,0.003001503
55,0.002992521
56,0.003976148
57,0.00297177
58,0.002962965
59,0.006879634
60,0.004885208
61,0.00291971
62,0.003879733
63,0.001934237
64,0.001930503
65,0.00384986
66,0.0028777
67,0.002869442
68,0.00381316
69,0.001901141
70,0.001897534
71,0.00189394
72,0.005660392
73,0.004692641
74,0.001870908
75,0.001867414
76,0.002794599
77,0.001858737
78,0.001855288
79,0.001851852
80,0.003693448
81,0.004597709
82,0.004576667
83,0.003646312
84,-0.001821494
85,-0.005484474
86,-0.003673099
87,0.002756088
88,0.003663008
89,0.000913659
90,0.000912825
91,0.003642991
92,0.001816531
93,0.001813237
94,0.00361664
95,0.005400553
96,0.003584233
97,0.003571432
98,0.004446428
99,0.002658398
100,0.004415018
101,0.002639685
102,0.004384049
103,0.003493453
104,0.002612104
105,0.003472226
106,0.001731602
107,0.003454235
108,0.001722653
109,0.002578429
110,0.005990604
111,0.002556456
112,0.004246291
113,0.004228336
114,0.004210533
115,0.004192878
116,0.003341691
117,0.003330561
118,0.003319505
119,0.004133946
120,0.003294896
121,0.004922077
122,0.007337986
123,0.004862246
124,0.003228413
125,0.003218024
126,0
127,0.00240674
128,0.004796172
129,0.003979313
130,0.003172088
131,0.009456335
132,0.003913899
133,0.004676548
134,0.002330098
135,0.001550388
136,0.006177626
137,0.004608303
138,0.008393792
139,0.006815627
140,0.006769488
141,0.002246351
142,0.00373274
143,0.003718859
144,0.000742115
145,0
146,0.002223046
147,0.003694131
148,0.00294551
149,0.001469508
150,0.002932553
151,0.002923979
152,0.001458789
153,0.004363643
154,0.002898553
155,0.000723327
156,0.002166848
157,0.003601012
158,0.002154399
159,0.002149768
160,0.002859187
161,0.002851035
162,0.002132955
163,0.002128415
164,0.004243288
165,0.002818888
166,0.00140647
167,0.003507545
168,0.002098637
169,0.001396648
170,0.00348311
171,0.00277778
172,0.000693241
173,0.001385042
174,0.002073972
175,0.001380262
176,0.004129393
177,0.002743486
178,0.002052686
179,0
180,0.002730377
181,0.002722942
182,0.000679579
183,0.002035969
184,0.002708194
185,0.003374961
186,0.004034975
187,0.002011399
188,0.000669568
189,0.002673798
190,0.002000668
191,0.002661346
192,0.002654282
193,0.001986098
194,0.003960401
195,0.001974334
196,0.001970444
197,0.001311476
198,0.001963994
199,0.00130719
200,0.002609264
201,0.001302084
202,0.00130039
203,0.005184717
204,0.001937359
205,0.003220615
206,0.003851096
207,0.001920001
208,0.001916321
209,0.001912656
210,0.001273075
211,0.003175614
212,0.003165561
213,0.003155572
214,0.002517308
215,0.001883831
216,0.001880289
217,0.000625978
218,0.000625587
219,0
220,0.001874415
221,0.001247661
222,0.002490661
223,0.002484473
224,0.001859313
225,0.001237624
226,0.000618238
227,0.001235331
228,0
229,0
230,0.001233806
231,0.002463055
232,0.001229256
233,0.002453989
234,0.00122474
235,0.000611808
236,0.002443495
237,0.001219512
238,0.001826485
239,0.001823155
240,0
241,0.00060698
242,0.00665258
243,0.000602591
244,0
245,0.004208001
246,0.002396646
247,0.004180358
248,0.001786246
249,0.001783061
250,0.00237248
251,0.002957707
252,0.004126148
253,0.005865119
254,-0.000584966
255,0.001753874
256,0.005824128
257,0.002899393
258,0
259,0.005197817
260,0.001726619
261,0.001723643
262,0.002293579
263,0.005711038
264,0.002275314
265,0.00056802
266,0.001702128
267,0.00508907
268,0.002253522
269,-0.001689665
270,0
271,0.00393812
272,-0.00281136
273,-0.000563222
274,-0.000563539
275,0.001689665
276,0.001686815
277,0.002805051
278,0.004471779
279,0.001114827
280,0.000556948
281,0.002224695
282,0.002773927
283,0.00166067
284,0.002209946
285,0.00165426
286,0.001651528
287,0.004390786
288,0.00546151
289,0.001632653
290,-0.003813679
291,-0.001638897
292,0.001092896
293,0.003271541
294,0.004345471
295,0.003246756
296,-0.001081081
297,0.000540687
298,0.002699057
299,0.004303396
300,0.002144773
301,0.002140183
302,0.001602137
303,0.004259857
304,0.003712547
305,0.001058201
306,0.000528681
307,0.00316623
308,0.005254873
309,0.004705891
310,0
311,-0.000521785
312,0.004166673
313,0.003631651
314,0.003102381
315,-0.000516396
316,0.000516396
317,0.006176036
318,0.006138127
319,0.013674561
320,0.001507917
321,-0.005035257
322,0
323,0.006039274
324,0.00050163
325,0.001503383
326,0.004995015
327,0.002985077
328,0.002480775
329,0.005436139
330,0.004425874
331,-0.004918849
332,-0.004447746
333,0.000495172
334,0.005430771
335,0.001657906
336,0.003870849
337,0.005186647
338,0.002996169
339,0.004124477
340,0.002314072
341,0.001779012
342,0.000308233
343,0.0042286
344,0.003078494
345,0.007828164
346,0.002893823
347,0.003441775
348,0.002414909
349,0.003571642
350,0.002311707
351,0.005900052
352,0.010423719
353,0.007116065
354,-0.001489585
355,0.000854726
356,-0.008635616
357,-0.017864094
358,-0.008267605
359,0.002527574
360,0.003636042
361,-0.000987771
362,0.001006576
363,0.001470412
364,0.00826536
365,-0.00029801
366,0.00334286
367,0.001929025
368,0.002997435
369,0.003342997
370,0.000520041
371,0.000648522
372,-0.00095223
373,0.000331313
374,0.000230014
375,-0.000519907
376,-0.000418883
377,0.001867509
378,0.001460297
379,0.001613946
380,0.003475799
381,0.002530637
382,0.004008531
383,0.003237795
384,0.003209319
385,0.005160211
386,0.004683116
387,0.003176664
388,0
389,0.002616611
390,0.003149497
391,0.002169193
392,0.00067498
393,0.001846145
394,0.00023768
395,0.002720492
396,0.002135165
397,0.002091282
398,0.001659411
399,-0.002070322
400,-0.000826705
401,0.000288768
402,0.005792718
403,0.00475992
404,0.002693165
405,-0.001680756
406,-0.000121089
407,0.00197883
408,0.005415238
409,-0.00281588
410,-0.002090162
411,0.00041407
412,0.00237758
413,0.001955539
414,0.002384446
415,0.000376874
416,0.000535088
417,0.00184279
418,0.002640679
419,0.002421242
420,0.001100173
421,0.002039973
422,0.00186245
423,0.001901197
424,0.00132026
425,0.001124852
426,-0.000160014
427,7.16E-05
428,-0.000197933
429,-0.001884435
430,-0.003089377
431,-0.006390693
432,0.002531437
433,0.00269033
434,0.001041936
435,0.00329232
436,0.002764097
437,0.001585063
438,-4.20E-06
439,-0.002250117
440,0.000988993
441,0.001193905
442,-0.001076132
443,-0.000458549
444,-0.00133056
445,0.003129893
446,0.003823327
447,0.002361306
448,0.002772111
449,-0.000503828
450,0.001847514
451,0.002619775
452,0.002339948
453,0.001178253
454,0.002521341
455,0.004034925
456,0.00159139
457,-0.000467311
458,0.001233392
459,-0.000774278
460,0.000651416
461,0.000327596
462,0.003841239
463,0.005093397
464,0.000774752
465,0.002664455
466,0.002104673
467,0.004244324
468,0.00268867
469,0.000192344
470,0.002601021
471,0.002255404
472,0.000900739
473,0.000780516
474,0.001785725
475,0.002060158
476,0.002336848
477,-0.00070444
478,0.000684659
479,-0.000815312
480,0.00299676
481,0.00377466
482,0.003752629
483,0.000246803
484,-0.000325166
485,0.002305217
486,0.000914352
487,0.001537663
488,0.002823293
489,0.002811467
490,0.002907986
491,0.001066593
492,0.001312356
493,-0.004236607
494,-0.0078713
495,-0.001085993
496,0.004508131
497,0.005448082
498,0.00370046
499,0.00225296
500,0.001145713
501,0.002479162
502,0.00424556
503,0.001956064
504,0.004048658
505,0.005021837
506,0.006929242
507,0.006352739
508,0.008206072
509,0.004901808
510,0.002918595
511,0.00401701
512,0.009256482
513,0.008518998
514,0.00718007
515,0.005617932
516,0.007567175
517,0.010550922
518,0.004202554
519,0.008946438
520,0.012405613
521,-6.44E-05
522,0.000786193
523,0.003827238
524,0.005122831
525,0.002631973
526,0.000548991
527,0.005153825
528,0.003831429
529,0.000779109
530,0.004259435
531,0.001098291
532,0.002100869
533,0.00205379
534,0.005104666
535,0.003589392
536,0.000790477
537,0.001601807
538,0.002328275
539,0.003049675
540,0.004410879
541,0.003773565
542,0.003124218
543,5.75E-05
544,-0.000562054
545,0.001548079
546,0.001870455
